Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_neo	root_freqs[1]	root_freqs[2]	tree_length
0	-7945.427	-8196.323	250.8962	0.8200459	0.5293088	0.515567	0.484433	7.412225
6	-7946.42	-8194.962	248.5426	0.6985565	0.5301764	0.465928	0.534072	8.730982
12	-7939.811	-8188.621	248.8103	0.7577738	0.5592116	0.404182	0.595818	8.533443
18	-7944.079	-8194.354	250.2748	0.7994978	0.4590153	0.545164	0.454836	7.818536
24	-7928.923	-8179.077	250.1538	0.7994978	0.4960231	0.447755	0.552245	7.849393
30	-7936.136	-8185.814	249.6779	0.7841964	0.5745294	0.476048	0.523952	8.04541
36	-7938.218	-8187.707	249.4891	0.7010787	0.5745294	0.476048	0.523952	8.190305
42	-7946.273	-8196.48	250.2063	0.8207543	0.5064214	0.476048	0.523952	7.800835
48	-7932.258	-8182.562	250.3038	0.7616738	0.5522266	0.485848	0.514152	7.741412
54	-7939.636	-8190.376	250.7396	0.804785	0.549351	0.485848	0.514152	7.487489
60	-7933.707	-8183.44	249.7324	0.753479	0.5373184	0.457234	0.542766	8.063158
66	-7942.07	-8191.997	249.927	0.7472239	0.4444572	0.54869	0.45131	8.045834
72	-7938.728	-8188.423	249.6953	0.7389504	0.592751	0.536238	0.463762	8.045834
78	-7937.399	-8188.643	251.2441	0.8133363	0.592751	0.526747	0.473253	7.177109
84	-7936.706	-8187.399	250.6931	0.6643776	0.592751	0.51111	0.48889	7.552583
90	-7932.021	-8182.66	250.6387	0.7616979	0.6306904	0.564149	0.435851	7.500492
96	-7940.748	-8190.609	249.8611	0.7239295	0.5396253	0.432545	0.567455	8.008362
102	-7952.663	-8202.966	250.3029	0.7243621	0.5715108	0.449385	0.550615	7.746129
108	-7951.192	-8201.298	250.1062	0.7339367	0.5549432	0.449385	0.550615	7.859546
114	-7952.905	-8204.628	251.7234	0.8294247	0.6500597	0.560617	0.439383	6.866677
120	-7946.268	-8197.006	250.7379	0.7823657	0.5776011	0.408815	0.591185	7.477403
126	-7952.356	-8202.235	249.8798	0.7883241	0.569557	0.408815	0.591185	7.939521
132	-7945.4	-8194.278	248.878	0.7464985	0.574476	0.422703	0.577297	8.49124
138	-7946.183	-8196.359	250.1766	0.9082596	0.4477263	0.58027	0.41973	7.823577
144	-7942.634	-8193.095	250.4612	0.7504252	0.5769036	0.508201	0.491799	7.643245
150	-7952.285	-8200.739	248.454	0.7731248	0.5714945	0.508201	0.491799	8.704555
156	-7952.925	-8202.152	249.2267	0.7383279	0.5714945	0.436733	0.563267	8.312548
162	-7948.787	-8198.239	249.452	0.7505557	0.5714945	0.436733	0.563267	8.186147
168	-7953.046	-8204.135	251.0893	0.7826629	0.5583571	0.523418	0.476582	7.304409
174	-7935.174	-8185.345	250.1704	0.7461276	0.5583571	0.461207	0.538793	7.815982
180	-7938.535	-8188.383	249.8481	0.7650615	0.5181087	0.465404	0.534596	8.011628
186	-7938.987	-8189.728	250.7411	0.7650615	0.5947194	0.465404	0.534596	7.4714
192	-7939.385	-8191.269	251.8841	0.8347546	0.5160622	0.526445	0.473555	6.884641
198	-7957.333	-8209.222	251.8896	0.8347546	0.5126435	0.526445	0.473555	6.884641
204	-7940.249	-8190.294	250.0454	0.7463589	0.5759861	0.40793	0.59207	7.868349
210	-7938.801	-8190.225	251.4242	0.8125526	0.5266307	0.447308	0.552692	7.135043
216	-7948.618	-8199.805	251.1867	0.8619359	0.6542828	0.473126	0.526874	7.135043
222	-7952.651	-8203.79	251.1387	0.8514728	0.5086956	0.495632	0.504368	7.283089
228	-7958.553	-8210.412	251.859	0.8300841	0.6173364	0.495632	0.504368	6.817889
234	-7937.407	-8188.863	251.4565	0.8544788	0.5877685	0.495632	0.504368	7.044724
240	-7943.691	-8195.277	251.586	0.9037881	0.5652494	0.528013	0.471987	6.966546
246	-7938.84	-8190.459	251.6193	0.8751027	0.5652494	0.4906	0.5094	6.964068
252	-7936.027	-8186.922	250.8945	0.8421511	0.5748752	0.455085	0.544915	7.363607
258	-7934.754	-8185.608	250.8534	0.7631023	0.528634	0.559695	0.440305	7.466299
264	-7937.442	-8187.366	249.9245	0.8053558	0.5155127	0.420168	0.579832	7.951608
270	-7940.273	-8192.019	251.746	0.8170546	0.645386	0.420168	0.579832	6.864612
276	-7941.145	-8190.861	249.7163	0.8082158	0.5914058	0.420168	0.579832	7.998752
282	-7952.215	-8203.954	251.7389	0.929413	0.5374023	0.500527	0.499473	6.893562
288	-7943.971	-8194.983	251.0121	0.862728	0.4917025	0.490617	0.509383	7.360069
294	-7951.311	-8202.166	250.8553	0.8343192	0.6381496	0.519603	0.480397	7.339831
300	-7941.228	-8192.572	251.3438	0.7296823	0.5052768	0.46954	0.53046	7.241367
306	-7930.224	-8181.442	251.2178	0.7992386	0.5208558	0.480281	0.519719	7.258085
